name,market_cap,sector,country,slogan
Devpulse,556306,n/a,Georgia,embrace frictionless applications
Twitterlist,407937,Agriculture,Paraguay,utilize clicks-and-mortar users
Linklinks,598210,Finance,Ireland,streamline cross-platform e-markets
Voonyx,100855,n/a,Peru,iterate cross-platform bandwidth
Yadel,179140,Finance,Philippines,evolve sticky initiatives
Eayo,116384,Agriculture,Sudan,visualize leading-edge bandwidth
Topicblab,104172,Health Care,Palestinian Territory,mesh transparent methodologies
Dynabox,525398,Finance,Indonesia,innovate dot-com applications
Meedoo,891507,Consumer ,Peru,visualize synergistic experiences
Jatri,561047,Energy,Argentina,integrate intuitive niches
Meetz,174874,Agriculture,Myanmar,mesh e-business technologies
Photolist,339240,Finance,Philippines,mesh bricks-and-clicks relationships
Trupe,294664,Energy,Ireland,e-enable scalable infrastructures
Meejo,877886,n/a,Mexico,innovate efficient web-readiness
Twitternation,178700,n/a,Indonesia,strategize enterprise networks
Feedfire,81665,n/a,Russia,streamline interactive e-tailers
Photofeed,189148,Health Care,Greece,utilize integrated action-items
Browsebug,278275,Consumer ,Brazil,enhance strategic initiatives
Aibox,920599,Health Care,Portugal,extend customized channels
Jabberbean,512629,n/a,Pakistan,envisioneer robust experiences
Roombo,492817,Health Care,Pakistan,reinvent impactful technologies
Realbuzz,376451,n/a,Kosovo,scale next-generation systems
Centizu,803665,Health Care,China,grow bricks-and-clicks bandwidth
Feedfish,622702,Consumer ,Indonesia,matrix magnetic initiatives
Yakitri,850091,Technology,Pakistan,morph 24/7 methodologies
Thoughtblab,544323,Health Care,Indonesia,iterate dot-com e-commerce
Izio,975857,n/a,Thailand,visualize back-end eyeballs
Flashspan,469538,Health Care,Russia,recontextualize frictionless schemas
Eadel,698484,Finance,Brazil,syndicate B2B bandwidth
Gabtune,224351,Finance,Poland,orchestrate strategic e-business
Realcube,782134,Health Care,Indonesia,transform extensible ROI
Lajo,891373,n/a,Ireland,enhance visionary convergence
Wordpedia,179643,Consumer ,Argentina,aggregate bleeding-edge bandwidth
Devbug,498547,Technology,Russia,implement interactive eyeballs
Flashpoint,281443,Energy,France,productize virtual platforms
Gabcube,389370,Energy,Estonia,reintermediate best-of-breed eyeballs
Oyondu,224292,Finance,Sweden,extend turn-key ROI
Camido,934186,Energy,Belarus,integrate collaborative relationships
Skippad,160889,Health Care,Indonesia,envisioneer transparent e-tailers
Tambee,773907,Transportation,Indonesia,monetize viral supply-chains
Meeveo,753708,Transportation,Canada,brand efficient markets
Plambee,256459,Finance,United States,monetize virtual vortals
Yodo,139145,Technology,China,aggregate real-time e-business
Oozz,10942,Energy,Czech Republic,disintermediate proactive partnerships
Thoughtstorm,159246,Technology,Colombia,synthesize user-centric architectures
Livetube,482594,n/a,Serbia,enhance granular networks
Tekfly,958591,Consumer,France,streamline one-to-one web services
Zoomdog,865347,Transportation,China,engineer killer e-markets
Mycat,478731,Finance,Czech Republic,monetize one-to-one experiences
Quire,375592,Finance,China,brand customized infomediaries
